p,za,theta,n_ext,seed,T,A,R
0.034,114.3,45.0,1.0,13,0.016867,0.00765,0.975483
0.034,114.3,46.0,1.0,13,0.015323,0.007128,0.977548
0.034,114.3,47.0,1.0,13,0.013832,0.006727,0.979442
0.034,114.3,48.0,1.0,13,0.012554,0.00642,0.981025
0.034,114.3,49.0,1.0,13,0.011716,0.006158,0.982126
0.034,114.3,50.0,1.0,13,0.011004,0.005916,0.98308
0.034,114.3,51.0,1.0,13,0.010489,0.005693,0.983818
0.034,114.3,52.0,1.0,13,0.009959,0.005494,0.984547
0.034,114.3,53.0,1.0,13,0.009524,0.005313,0.985163
0.034,114.3,54.0,1.0,13,0.009044,0.005141,0.985814
0.034,114.3,55.0,1.0,13,0.008688,0.004987,0.986325
0.034,114.3,56.0,1.0,13,0.008331,0.004829,0.98684
0.034,114.3,57.0,1.0,13,0.007945,0.00466,0.987395
0.034,114.3,58.0,1.0,13,0.007624,0.004497,0.987878
0.034,114.3,59.0,1.0,13,0.007174,0.004324,0.988502
0.034,114.3,60.0,1.0,13,0.006858,0.004166,0.988976
0.034,114.3,61.0,1.0,13,0.006714,0.004033,0.989252
0.034,114.3,62.0,1.0,13,0.006462,0.003913,0.989625
0.034,114.3,63.0,1.0,13,0.006243,0.003803,0.989954
0.034,114.3,64.0,1.0,13,0.006046,0.003668,0.990286
0.034,114.3,65.0,1.0,13,0.005726,0.003496,0.990778
0.034,114.3,66.0,1.0,13,0.005374,0.003298,0.991328
0.034,114.3,67.0,1.0,13,0.00512,0.003111,0.991769
0.034,114.3,68.0,1.0,13,0.004949,0.002981,0.99207
0.034,114.3,69.0,1.0,13,0.004794,0.002911,0.992295
0.034,114.3,70.0,1.0,13,0.004708,0.002869,0.992423
0.034,114.3,71.0,1.0,13,0.00458,0.002792,0.992628
0.034,114.3,72.0,1.0,13,0.004246,0.002594,0.99316
0.034,114.3,73.0,1.0,13,0.003743,0.002316,0.993941
0.034,114.3,74.0,1.0,13,0.003294,0.002053,0.994653
0.034,114.3,75.0,1.0,13,0.003048,0.001899,0.995052
0.034,114.3,76.0,1.0,13,0.00308,0.001908,0.995012
0.034,114.3,77.0,1.0,13,0.003252,0.002006,0.994742
0.034,114.3,78.0,1.0,13,0.003189,0.001973,0.994838
0.034,114.3,79.0,1.0,13,0.002716,0.001689,0.995595
0.034,114.3,80.0,1.0,13,0.002125,0.001323,0.996552
0.034,114.3,81.0,1.0,13,0.001641,0.001022,0.997337
0.034,114.3,82.0,1.0,13,0.001374,0.000856,0.99777
0.034,114.3,83.0,1.0,13,0.001527,0.000951,0.997522
0.034,114.3,84.0,1.0,13,0.001902,0.001183,0.996915
0.034,114.3,66.0,1.33,13,0.042953,0.015386,0.941661
0.034,114.3,67.0,1.33,13,0.028128,0.013608,0.958263
0.034,114.3,68.0,1.33,13,0.024455,0.012517,0.963028
0.034,114.3,69.0,1.33,13,0.022922,0.011906,0.965172
0.034,114.3,70.0,1.33,13,0.022316,0.011564,0.96612
0.034,114.3,71.0,1.33,13,0.022443,0.011337,0.96622
0.034,114.3,72.0,1.33,13,0.021085,0.010486,0.968429
0.034,114.3,73.0,1.33,13,0.017678,0.00914,0.973183
0.034,114.3,74.0,1.33,13,0.014634,0.007855,0.97751
0.034,114.3,75.0,1.33,13,0.013243,0.007157,0.9796
0.034,114.3,76.0,1.33,13,0.01372,0.007376,0.978904
0.034,114.3,77.0,1.33,13,0.015349,0.00824,0.97641
0.034,114.3,78.0,1.33,13,0.015944,0.008613,0.975443
0.034,114.3,79.0,1.33,13,0.013198,0.0072,0.979601
0.034,114.3,80.0,1.33,13,0.0093,0.005074,0.985627
0.034,114.3,81.0,1.33,13,0.006381,0.003486,0.990133
0.034,114.3,82.0,1.33,13,0.005132,0.002808,0.99206
0.034,114.3,83.0,1.33,13,0.006589,0.003612,0.989799
0.034,114.3,84.0,1.33,13,0.010762,0.005911,0.983327
0.206,52.9,45.0,1.0,13,0.080386,0.047371,0.872242
0.206,52.9,46.0,1.0,13,0.073992,0.046446,0.879562
0.206,52.9,47.0,1.0,13,0.068943,0.045742,0.885315
0.206,52.9,48.0,1.0,13,0.065664,0.045095,0.889242
0.206,52.9,49.0,1.0,13,0.063449,0.0446,0.891952
0.206,52.9,50.0,1.0,13,0.06139,0.043997,0.894612
0.206,52.9,51.0,1.0,13,0.060196,0.043537,0.896267
0.206,52.9,52.0,1.0,13,0.057435,0.042996,0.899569
0.206,52.9,53.0,1.0,13,0.056323,0.042605,0.901071
0.206,52.9,54.0,1.0,13,0.054425,0.042025,0.90355
0.206,52.9,55.0,1.0,13,0.052811,0.041674,0.905515
0.206,52.9,56.0,1.0,13,0.05104,0.041097,0.907863
0.206,52.9,57.0,1.0,13,0.050183,0.040562,0.909255
0.206,52.9,58.0,1.0,13,0.051944,0.040054,0.908002
0.206,52.9,59.0,1.0,13,0.050443,0.039333,0.910224
0.206,52.9,60.0,1.0,13,0.048931,0.038604,0.912465
0.206,52.9,61.0,1.0,13,0.047929,0.03812,0.91395
0.206,52.9,62.0,1.0,13,0.046677,0.03765,0.915674
0.206,52.9,63.0,1.0,13,0.045941,0.037297,0.916762
0.206,52.9,64.0,1.0,13,0.045043,0.036807,0.91815
0.206,52.9,65.0,1.0,13,0.042643,0.035823,0.921533
0.206,52.9,66.0,1.0,13,0.039859,0.034461,0.925681
0.206,52.9,67.0,1.0,13,0.03794,0.033044,0.929015
0.206,52.9,68.0,1.0,13,0.03644,0.031897,0.931663
0.206,52.9,69.0,1.0,13,0.035649,0.03151,0.932841
0.206,52.9,70.0,1.0,13,0.035541,0.031698,0.932761
0.206,52.9,71.0,1.0,13,0.035387,0.031721,0.932892
0.206,52.9,72.0,1.0,13,0.033611,0.030345,0.936045
0.206,52.9,73.0,1.0,13,0.029828,0.027421,0.942752
0.206,52.9,74.0,1.0,13,0.026097,0.024242,0.949661
0.206,52.9,75.0,1.0,13,0.023999,0.022282,0.95372
0.206,52.9,76.0,1.0,13,0.024475,0.022451,0.953074
