p,za,theta,n_ext,seed,T,A,R
0.034,114.3,45.0,1.0,13,0.035721,0.000907,0.963372
0.034,114.3,45.0,1.0,29,0.00126,0.000855,0.997884
0.034,114.3,45.0,1.0,53,0.004414,0.000867,0.99472
0.034,114.3,46.0,1.0,13,0.02711,0.000819,0.972071
0.034,114.3,46.0,1.0,29,0.001118,0.000784,0.998097
0.034,114.3,46.0,1.0,53,0.003245,0.000799,0.995956
0.034,114.3,47.0,1.0,13,0.020066,0.00077,0.979164
0.034,114.3,47.0,1.0,29,0.000999,0.000735,0.998265
0.034,114.3,47.0,1.0,53,0.002561,0.000749,0.99669
0.034,114.3,48.0,1.0,13,0.016086,0.000727,0.983187
0.034,114.3,48.0,1.0,29,0.000897,0.000697,0.998407
0.034,114.3,48.0,1.0,53,0.002312,0.000709,0.99698
0.034,114.3,49.0,1.0,13,0.013,0.000692,0.986308
0.034,114.3,49.0,1.0,29,0.000826,0.000666,0.998508
0.034,114.3,49.0,1.0,53,0.00204,0.000676,0.997284
0.034,114.3,50.0,1.0,13,0.009569,0.000662,0.989769
0.034,114.3,50.0,1.0,29,0.000748,0.000639,0.998613
0.034,114.3,50.0,1.0,53,0.001903,0.000649,0.997448
0.034,114.3,51.0,1.0,13,0.008948,0.000634,0.990418
0.034,114.3,51.0,1.0,29,0.000718,0.000614,0.998667
0.034,114.3,51.0,1.0,53,0.001889,0.000626,0.997486
0.034,114.3,52.0,1.0,13,0.006953,0.000612,0.992435
0.034,114.3,52.0,1.0,29,0.000677,0.000592,0.998731
0.034,114.3,52.0,1.0,53,0.001936,0.000604,0.99746
0.034,114.3,53.0,1.0,13,0.006799,0.000588,0.992613
0.034,114.3,53.0,1.0,29,0.000638,0.000572,0.99879
0.034,114.3,53.0,1.0,53,0.002037,0.000584,0.997379
0.034,114.3,54.0,1.0,13,0.00566,0.000568,0.993772
0.034,114.3,54.0,1.0,29,0.000571,0.000552,0.998877
0.034,114.3,54.0,1.0,53,0.002096,0.000565,0.997338
0.034,114.3,55.0,1.0,13,0.005651,0.000549,0.9938
0.034,114.3,55.0,1.0,29,0.000525,0.000534,0.99894
0.034,114.3,55.0,1.0,53,0.002206,0.000549,0.997244
0.034,114.3,56.0,1.0,13,0.005303,0.00053,0.994167
0.034,114.3,56.0,1.0,29,0.000502,0.000517,0.998981
0.034,114.3,56.0,1.0,53,0.002301,0.000533,0.997166
0.034,114.3,57.0,1.0,13,0.004762,0.000513,0.994725
